"PERIODO","ESTU_TIPODOCUMENTO","ESTU_CONSECUTIVO","COLE_AREA_UBICACION","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_ESTABLECIMIENTO","COLE_DEPTO_UBICACION","COLE_GENERO","COLE_JORNADA","COLE_NATURALEZA","ESTU_GENERO","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONMADRE","FAMI_EDUCACIONPADRE","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_TIENEAUTOMOVIL","FAMI_TIENECOMPUTADOR","FAMI_TIENEINTERNET","FAMI_TIENELAVADORA","PUNT_INGLES","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_LECTURA_CRITICA","PUNT_GLOBAL"
"20211","TI","SB11202110001547","RURAL","S","ACADÉMICO","425758800009","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","83","74","64","61","69","341"
"20211","CR","SB11202110021004","URBANO",,"ACADÉMICO","425799000637","CUNDINAMARCA","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","1 a 2","Si","Si","Si","Si","66","59","60","56","66","303"
"20211","TI","SB11202110002427","URBANO","S","ACADÉMICO","447001004284","MAGDALENA","MIXTO","COMPLETA","NO OFICIAL","M",,,,,,,,,,"87","80","74","62","69","362"
"20211","TI","SB11202110002880","URBANO","N","TÉCNICO/ACADÉMICO","376001021583","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","70","69","63","71","70","342"
"20211","TI","SB11202110022054","URBANO","S","ACADÉMICO","311769003474","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Postgrado","Postgrado","Estrato 6","1 a 2","Si","Si","Si","Si","89","65","74","65","71","352"
"20211","TI","SB11202110002958","URBANO",,"TÉCNICO","376001042165","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Cinco","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","No","Si","Si","Si","45","39","55","52","50","243"
"20211","TI","SB11202110014059","URBANO","S","ACADÉMICO","311848002351","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","100","76","70","63","73","364"
"20211","TI","SB11202110008715","URBANO",,"ACADÉMICO","376001031341","VALLE","MIXTO","UNICA","NO OFICIAL","F","Cinco","Educación profesional completa","Secundaria (Bachillerato) incompleta","Estrato 5","5 a 6","Si","Si","Si","Si","79","56","56","57","65","300"
"20211","TI","SB11202110063953","URBANO","N","ACADÉMICO","317001007207","CALDAS","MIXTO","SABATINA","NO OFICIAL","M","Tres","Primaria completa","Primaria completa","Sin Estrato","5 a 6","No","No","Si","Si","33","51","51","44","51","240"
"20211","TI","SB11202110032682","RURAL","S","ACADÉMICO","305380019472","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional incompleta","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","83","72","77","68","69","362"
"20211","TI","SB11202110008088","URBANO",,"ACADÉMICO","347001051105","MAGDALENA","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","87","72","52","62","61","318"
"20211","TI","SB11202110037955","URBANO",,"ACADÉMICO","311001105375","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","100","100","74","67","78","407"
"20211","TI","SB11202110008461","URBANO","S","ACADÉMICO","376001002121","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Técnica o tecnológica completa","Educación profesional completa","Estrato 5","1 a 2","Si","Si","Si","Si","81","68","60","64","68","331"
"20211","CC","SB11202110064853","URBANO","N",,"373001010485","TOLIMA","MIXTO","SABATINA","NO OFICIAL","M","Tres","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","No","Si","Si","Si","49","60","49","54","50","265"
"20211","CC","SB11202110064538","URBANO","N","ACADÉMICO","311001093962","BOGOTÁ","MIXTO","NOCHE","NO OFICIAL","M",,,,,,,,,,"26","35","51","43","54","221"
"20211","CE","SB11202110021755","URBANO","N","ACADÉMICO","311001107599","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","45","52","48","53","51","253"
"20211","TI","SB11202110008514","URBANO","S","ACADÉMICO","311769001781","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","81","67","76","61","74","352"
"20211","TI","SB11202110035860","RURAL","S","ACADÉMICO","366001003814","RISARALDA","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Estrato 6","1 a 2","No","Si","Si","Si","82","47","56","57","63","289"
"20211","CC","SB11202110064573","URBANO","N","ACADÉMICO","325175032424","CUNDINAMARCA","MIXTO","NOCHE","NO OFICIAL","F","Dos","Técnica o tecnológica completa","Técnica o tecnológica completa","Estrato 2","1 a 2","No","No","No","No","52","57","42","52","56","259"
"20211","TI","SB11202110018408","URBANO","N","ACADÉMICO","376001022334","VALLE","MIXTO","NOCHE","NO OFICIAL","M","Tres","Primaria completa","Primaria incompleta","Estrato 3","3 a 4","Si","No","Si","Si","51","38","42","46","47","219"
"20211","TI","SB11202110021343","URBANO","N","ACADÉMICO","311001103062","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","53","39","53","44","58","244"
